"geneID"	"FC_X"	"FC_Y.x"	"LogFC"	"FC_Y.y"
"CNGA3"	0	0	0.46	0
"CNOT7P1"	0	0	0	0
"CNTN3"	0	0.05	0.16	-0.2
"CNTN5"	0	0	0	0
"CNTNAP4"	0	-0.35	0.62	0
"COA1"	0	-0.04	0.02	0.31
"COL17A1"	0	-0.17	0.24	0
"COL4A1"	0	-0.72	0.41	0.41
"COL4A4"	0	-0.42	0.33	0
"COMTD1"	0	-0.13	0.25	-0.24
"CORO1B"	0	-0.06	0.34	-0.23
"CPA3"	0	-0.78	-0.35	0.51
"CPHL1P"	0	0	0	0
"CPLX4"	0	0	-0.39	0.39
"CPNE3"	0	-0.13	-0.15	-0.03
"CPSF1P1"	0	-0.46	0	0
"CRHR1"	0	0	0.42	0
"CRYAA"	0	0	0	0
"CRYGN"	0	0	0.11	0
"CSF2RB"	0	-0.17	-0.3	1.36
"CTB-180A7.8"	0	0	0	0
"CTC-360G5.8"	0	-0.68	0	0
"CTC-435M10.3"	0	-0.43	0	0
"CTD-2278I10.6"	0	0	0	0
"CTD-2331H12.5"	0	0	0	0
"CTD-2545G14.7"	0	0	-0.02	0.02
"CTD-2574D22.4"	0	0	0	0
"CTD-2651B20.4"	0	-0.36	0.47	0
"CTD-3074O7.11"	0	-2.35	0	0
"CTD-3214H19.16"	0	0	0	0
"CXCL11"	0	0	-0.5	0.82
"CXCR3"	0	0	0	0
"CXCR5"	0	-0.7	-1.01	1.01
"CXXC4"	0	-0.35	-0.18	0.18
"CYCSP10"	0	0.38	-0.33	-0.1
"CYP11A1"	0	-0.12	-0.03	0.13
"CYP26A1"	0	0	0	0
"CYP27A1"	0	-0.19	0.08	-0.6
"CYP2F1"	0	0	0.3	0.37
"CYP3A4"	0	0.28	0	-0.28
"CYP4B1"	0	-1	-0.02	0.41
"CYP4Z1"	0	-0.09	0	0
"DAB1"	0	0	0	0
"DAO"	0	0	-0.11	0.11
"DARS2"	0	0	0	0
"DBX2"	0	0	-0.39	0.39
"DDX3Y"	0	0	0	0
"DDX4"	0	-0.15	-0.42	0.42
"DDX43"	0	-0.44	0.56	0
"DFFBP1"	0	-0.35	-0.01	0.31
"DIRAS3"	0	-0.49	0.9	0
"DKK3"	0	0	0.31	0.41
"DLEU7"	0	0	-0.54	0.54
"DMBT1"	0	0	0	0
"DNAH8"	0	0	0	0
"DNALI1"	0	-0.66	0	0
"DOK7"	0	-0.52	0.14	0
"DPP3P2"	0	0	0	0
"DPP4"	0	0	1.53	0.84
"DRD1"	0	0	0	0
"DRD4"	0	-0.15	0	0
"DRGX"	0	0	-2.37	3.09
"DSCAML1"	0	0	0	0
"DTHD1"	0	0	0	0
"DUX4L13"	0	0	0	0
"DUX4L8"	0	0	0	0
"ECD"	0	-0.32	0.12	0.2
"EDNRA"	0	0	-0.56	0.56
"EEF1A1P10"	0	-0.1	0.54	-0.18
"EGFL8"	0	0.44	-0.8	0.2
"EHF"	0	0	0.65	0
"EIF2S2P2"	0	0	0.06	0.16
"EIF3G"	0	0.01	0.31	-0.15
"EIF4BP6"	0	-0.15	-1.01	0.79
"EIF4HP1"	0	0	0.52	0
"ELSPBP1"	0	0	0	0
"ENPEP"	0	0	-0.29	0.29
"ENPP7P6"	0	-0.49	0	-0.34
"EPB41L4B"	0	0	-1.48	2.36
"ERICH2"	0	0	-0.25	0.25
"ESRP2"	0	0.16	-0.55	0.09
"EVX2"	0	0	0.19	0
"EXOC5"	0	-0.17	-0.03	0.56
"EXOSC6"	0	-0.23	-0.25	-0.08
"F11"	0	0	0.41	0
"FAAH2"	0	-0.2	0	0
"FABP5P7"	0	-0.86	0.07	0
"FADD"	0	-0.01	0.08	0.19
"FAM131C"	0	-0.19	0.43	0.43
"FAM151A"	0	-0.33	0	0
"FAM189A1"	0	-0.06	0	0
"FAM217A"	0	-0.39	0	0
"FAM45BP"	0	0	0	0
"FAM53B"	0	-0.07	-0.88	0.82
"FAM63A"	0	-1.43	0.68	0.96
"FAM74A4"	0	-0.76	0	0
"FAM90A12P"	0	0	0	0
"FCF1P2"	0	-0.57	-0.13	0.35
"FCRLB"	0	-0.03	0.42	-0.4
"FGB"	0	-0.45	0	0
"FGF9"	0	-0.71	0	0
"FGFR1OP"	0	-0.09	0.06	0.41
"FGFR3"	0	-0.25	-0.17	0.33
"FIBCD1"	0	0	0	0
"FKBP7"	0	-0.2	0.17	-0.18
"FLG2"	0	-1.22	-0.58	0.79
"FLT3"	0	0	0	0
"FNDC7"	0	-0.55	-0.66	0.66
"FOXA1"	0	-0.3	0.13	0
"FOXN4"	0	0	0	0
"FREM3"	0	-0.21	0	0
"FRG1GP"	0	0.28	0.37	-0.28
"FRMD7"	0	0	0.94	0.42
"FRMPD4"	0	0	0.59	0.42
"FSCN3"	0	0	0	0
"FSHR"	0	-0.69	-0.12	0.12
"FTOP1"	0	-0.61	-0.29	0.73
"GAD2"	0	-0.38	-0.22	0.22
"GAGE12J"	0	-0.03	0	0
"GAGE13"	0	-0.03	0	0
"GALNT13"	0	-0.63	-0.41	1.39
"GAPDHP32"	0	-0.22	0.2	0
"GAPDHP66"	0	-0.18	0.2	0
"GBA"	0	-0.17	0.1	0.52
"GCG"	0	0	-0.17	0.17
"GCNT4"	0	0	0	0
"GCOM1"	0	0	0.73	0.21
"GFOD2"	0	0.12	0.47	-0.06
"GGT3P"	0	0	0	0
"GGTA1P"	0	-0.27	0.12	0
"GGTA2P"	0	-0.18	0	0
"GIMAP8"	0	0	0.55	0
"GLP1R"	0	-0.18	0	0
"GLRA2"	0	0	0	0
"GLS2"	0	-0.14	-0.26	0.97
"GLYATL1P2"	0	-0.32	-0.14	1.25
"GMNC"	0	0	0.27	0
"GMPPA"	0	-0.07	0.08	0.55
"GNL3LP1"	0	0	0.26	0.38
"GOLGA6L17P"	0	0	0.2	0.5
"GOLGA8F"	0	-0.05	0	0
"GPHA2"	0	0	-0.17	0.32
"GPR139"	0	-0.21	0	0
"GPR149"	0	-0.17	0	0
"GPR17"	0	0	-0.26	0.26
"GPR26"	0	-0.17	0	0
"GPR34"	0	0	0.35	0
"GPX3"	0	-0.4	0	0
"GRIK3"	0	0	0	0
"GRIK5"	0	-0.39	0	0
"GRIN1"	0	0	-0.94	0.94
"GRM5"	0	-0.51	0	0
"GSG1L"	0	-0.14	0	0
"GSPT1"	0	-0.03	-0.03	0.29
"GSS"	0	0	0	0
"GSTA3"	0	0	-0.51	1.11
"GTF2F2"	0	-0.03	0.01	0.06
"GTF2IRD1P1"	0	0	0.49	0
"GUCY2D"	0	0	0	0
"GUCY2GP"	0	0	0	0
"HAO2"	0	-0.34	0	0
"HCG4P11"	0	-0.28	0	0
"HDAC10"	0	0	0.26	0.04
"HIST1H2BD"	0	-0.83	-0.3	-0.11
"HIST1H4H"	0	-0.56	0.53	0.77
"HMCN2"	0	-1.52	-0.13	0.96
"HMGCLL1"	0	0	0	0
"HMGN1P2"	0	-0.5	0.16	0.23
"HMSD"	0	0	0.28	0.22
"HNRNPA1P48"	0	0	0.43	0
"HNRNPA1P67"	0	0.81	0.08	-0.43
"HNRNPA3P6"	0	0	0	0
"HNRNPA3P7"	0	-0.21	0	0
"HNRNPKP2"	0	0	-0.18	0.39
"HNRNPLP2"	0	-0.19	-0.3	0.3
"HPSE2"	0	0	-0.6	0.87
"HRASLS5"	0	-0.72	0	0
"HSD11B2"	0	0	0	0
"HSPD1P1"	0	0	-0.29	0.29
"ICK"	0	-0.76	-0.5	2.91
"IFITM4P"	0	0	-0.62	0.84
"IKBKGP1"	0	-0.88	-0.77	0.77
"IL1A"	0	0	0	0
"IMPDH1P10"	0	0	0	0
"IMPG2"	0	-0.21	-0.02	0.39
"INAFM1"	0	0.3	-0.29	0.38
"INO80B-WBP1"	0	-0.73	0.66	0
"IQCA1L"	0	0	0	0
"IQCJ-SCHIP1"	0	0	0	0
"IQSEC3"	0	0	-0.12	0.12
"ITIH3"	0	0	0	0
"KCNA4"	0	0	0	0
"KCNH7"	0	-0.24	-0.6	0.6
"KCNT2"	0	-0.29	0	0
"KIAA1211L"	0	0	0.55	0
"KLHL22"	0	-0.08	0.11	-0.15
"KNCN"	0	0	0	0
"KRT13"	0	0	0.47	0.66
"KRT17"	0	0	0.3	0
"KRT17P6"	0	0	0.24	0
"KRT18P57"	0	0	-0.37	0.37
"KRT19"	0	0	0.54	0.09
"KRT32"	0	0	-0.27	3.3
"KRT33B"	0	0	-0.96	4.55
"KRT34"	0	0	0.13	4.11
"KRT38"	0	0	-0.13	1.41
"KRT81"	0	0	0.55	0
"KRT8P33"	0	-0.47	-0.89	0.61
"KRT8P47"	0	0	-0.44	0.65
"KRTAP5-7"	0	0	-0.02	0.23
"LHCGR"	0	0	0	0
"LINC00266-1"	0	-0.36	0	0
"LLfos-48D6.2"	0	0	-0.67	0.67
"LRIT3"	0	-0.21	-0.08	0.28
"LRMP"	0	0	-0.23	0.23
"LRP3"	0	0	0	0
"LRRC15"	0	-0.33	-0.65	1.61
"LRRN1"	0	-0.35	-0.14	0.14
"LUZP2"	0	-0.16	0.18	-0.49
"LYVE1"	0	0	-0.67	0.79
"MAG"	0	0	-0.32	0.32
"MAGEB3"	0	0	0	0
"MAJIN"	0	0	-0.51	0.51
"MAL2"	0	0	0	0
"MALRD1"	0	0	0	0
"MAP6"	0	0	0	0
"MED15P1"	0	0	0.16	0
"MEDAG"	0	0	0.15	0
"MEST"	0	-0.63	-0.2	0.72
"METTL15P1"	0	0	-0.28	0.28
"METTL17"	0	-0.33	0	-0.19
"MFSD13B"	0	-0.82	0.75	0
"MFSD4B"	0	-0.48	0	0
"MGAT4D"	0	0	0	0
"MKX"	0	0	0	0
"MMEL1"	0	-0.13	0.87	0.68
"MNDA"	0	0	0	0
"MNX1"	0	0	-0.82	1.75
"MPPED1"	0	0	0	0
"MRAS"	0	0.9	0.69	0.96
"MRM2"	0	0.07	0.05	0.27
"MROH5"	0	0	0	0
"MRPL19"	0	0.01	0.01	0.17
"MRPL40"	0	0.29	0	0.1
"MRPS10P1"	0	0	0	0
"MSLN"	0	0	1.06	0
"MTCYBP32"	0	-0.49	-0.22	0.22
"MTND1P9"	0	0	-0.02	0.66
"MUC16"	0	-0.32	0	0
"MUC2"	0	0	0	0
"MUC22"	0	0	0	0
"MUC5AC"	0	-0.36	-0.6	0.6
"MUSK"	0	-0.13	-1.17	1.4
"MYBPC1"	0	-0.3	-0.98	0.98
"MYBPH"	0	0	-0.1	0.77
"MYH15"	0	0.12	0.83	-1.24
"MYH2"	0	0	-0.18	0.18
"MYH4"	0	-0.21	0	0
"MYH6"	0	0	0	0
"MYLK2"	0	0	-0.26	0.26
"MYO5B"	0	0	-0.21	0.21
"MYO5BP2"	0	0	0	0
"MYO7B"	0	-0.1	-0.59	0.59
"MYZAP"	0	0	0	0
"NANOGNB"	0	0	0	0
"NAT2"	0	0	0.27	0
"NBEAP1"	0	-0.02	-0.11	0.17
"NBPF13P"	0	0	0	0
"NCF2"	0	-0.17	0.67	0.21
"NCF4"	0	0	-0.55	0.73
"NCR1"	0	-0.52	-0.39	0.39
"NDUFA5"	0	0	-0.12	-0.03
"NDUFAF5"	0	-0.05	-0.09	0.68
"NDUFB5P1"	0	0	-0.52	0.52
"NEFH"	0	0	0	0
"NETO1"	0	-0.11	0	0
"NF1P4"	0	0	0	0
"NHLH2"	0	-0.34	0	0
"NHLRC4"	0	-0.19	-0.11	-0.03
"NIP7"	0	0	0.11	-0.2
"NKAIN2"	0	-0.16	0	0
"NKPD1"	0	0	0	0
"NLRP7"	0	0	0	0
"NOC4L"	0	0	0.15	-0.07
"NPAS4"	0	0	0	0
"NPC1L1"	0	-0.88	-0.31	0.5
"NPFFR2"	0	0	-0.02	0.23
"NPIPA5"	0	0	0	0
"NPIPB15"	0	-0.35	0.24	0
"NPIPB9"	0	0	0	0
"NPPB"	0	0	0.49	0.16
"NPR1"	0	0	0	0
"NPTX1"	0	0	-0.19	0.19
"NPW"	0	-0.18	0.47	-0.11
"NQO2"	0	0.33	-0.18	0.15
"NR0B2"	0	-0.62	0	0
"NR1H4"	0	0	0	0
"NR1I2"	0	-0.19	0	0
"NR2C1"	0	-0.08	-0.04	-0.14
"NR2E1"	0	-0.03	-0.22	-0.04
"NRXN1"	0	0	-0.15	0.15
"NUCB2"	0	-0.19	0.06	0.79
"NUDT2"	0	-0.61	0.14	0.1
"NUTM2F"	0	-0.21	0.31	0.22
"NXPH1"	0	0	-0.71	0.71
"OR2L13"	0	0	0.53	0
"OR4D1"	0	-1.95	0.26	0.77
"OR51K1P"	0	0	0.19	0
"OR9H1P"	0	0	0	0
"OTC"	0	-0.67	-0.6	0.6
"OTOGL"	0	0	0.36	0
"OVCH1"	0	-0.42	0.61	0
"OVOL1"	0	-0.52	-0.24	0.24
"P2RY12"	0	0	0.49	0
"P2RY14"	0	-0.29	0	0
"PABPC4L"	0	-0.47	0.4	0
"PADI1"	0	0	0.41	0
"PAPPA2"	0	-0.2	-0.07	0.07
"PAX2"	0	0	-0.07	0.91
"PAX6"	0	-1.08	-0.16	0.16
"PCDH20"	0	0	0.35	0
"PCDHA3"	0	-0.29	-0.22	0.22
"PCDHA8"	0	0	0.22	0.58
"PCDHGA7"	0	0	-0.33	0.93
"PCDHGB9P"	0	0	0.44	0
"PCDHGC4"	0	-0.2	0	0
"PCED1B"	0	0	0.01	1.04
"PDE9A"	0	0	0.54	0.43
"PDZRN3"	0	0.16	-0.26	2.5
"PEBP1P2"	0	-0.22	0.2	0
"PGA4"	0	0	0.52	0
"PGAM1P6"	0	0	0	0
"PGR"	0	0	0	0
"PIWIL1"	0	-0.19	0	0
"PKDREJ"	0	-0.56	0	0
"PKHD1"	0	0	0.04	0.16
"PLA2G5"	0	0	-0.05	0.78
"PLAC8L1"	0	-0.6	1.11	0
"PLPPR3"	0	0	0	0
"PNLDC1"	0	-0.21	0	0
"PNLIPRP3"	0	-0.36	0	0
"POLI"	0	-0.04	-0.28	0.4
"POLR3H"	0	0.24	0.1	0.37
"POMK"	0	0	-0.35	0.53
"POTEG"	0	-0.13	0.4	0
"PPIF"	0	0.27	0.25	0.03
"PPP1R14B"	0	0.34	0.1	0.67
"PPP1R14BP3"	0	-0.06	0.27	0.32
"PPP1R1B"	0	-0.63	0	0
"PPP3CC"	0	0.35	-0.08	-0.06
"PPRC1"	0	0.11	0.13	-0.39
"PRAP1"	0	-0.3	0	0
"PRDX6"	0	-0.05	0.09	-0.58
"PRKCQ"	0	0.28	1.38	-0.06
"PRKCZ"	0	-0.19	0.08	-0.92
"PRR13P5"	0	0	0	0
"PRR18"	0	0	0.83	0
"PSAT1P1"	0	0	-0.23	0.23
"PSG7"	0	0	0	0
"PSG9"	0	-0.22	0	0
"PSKH2"	0	0	0	0
"PSME1"	0	0.05	0.42	0.11
"PTENP1"	0	-0.74	0.18	1.27
"PTGER1"	0	0	0.2	0
"PTGES3P1"	0	0	-0.7	0.7
"PTH1R"	0	-0.82	0	0
"PTPRT"	0	-0.21	-0.5	1.03
"PVALB"	0	-0.16	0.16	0.24
"PXDNL"	0	0	0.6	0.54
"QRFP"	0	0	-0.08	0.82
"RAB11FIP5"	0	0.34	-0.2	0.54
"RAB5CP1"	0	0	-0.5	0.5
"RABEP1"	0	0.09	0.09	-0.23
"RAG2"	0	0	0.16	0.36
"RASAL3"	0	-0.18	0	0
"RASGEF1C"	0	0	0.15	0
"RASGRP2"	0	-0.46	0	0
"RBFOX1"	0	0	0	0
"RBM17P4"	0	0	-0.08	0.28
"RBP2"	0	-0.53	0	0
"RCE1"	0	0.11	-0.08	-0.51
"REM1"	0	0	0.2	0
"RET"	0	0	0.32	0.31
"RFPL2"	0	-0.29	-0.24	-0.05
"RFPL4AL1"	0	0	-0.39	0.39
"RGN"	0	-0.2	-0.2	0.74
"RGS18"	0	0	0.44	0
"RGS8"	0	0	0	0
"RIC8A"	0	0.27	0.02	0.41
"RIMS4"	0	0	0	0
"RNA5SP122"	0	-0.55	-0.05	0.4
"RNA5SP389"	0	0	0	0
"RNA5SP452"	0	0	-0.21	0.42
"RNASEK-C17orf49"	0	0	-0.48	0.48
"RNF38"	0	-0.67	-0.45	-0.01
"RNY4P13"	0	0	-0.36	0.57
"RP1-228P16.1"	0	0	-0.94	0.94
"RP1-241P17.4"	0	0	0	0
"RP11-1023L17.2"	0	-0.47	-0.73	0.75
"RP11-108K14.8"	0	0	-0.53	0.53
"RP11-111F5.2"	0	-0.93	0.53	0
"RP11-114G11.3"	0	0	0	0
"RP11-118F2.2"	0	0	0.23	0
"RP11-1198D22.1"	0	0	0	0
"RP11-1223D19.5"	0	0	0	0
"RP11-1280N14.3"	0	-0.68	-0.49	0.49
"RP11-152F13.10"	0	0	-0.79	0.8
"RP11-156P1.2"	0	0	-1.2	1.22
"RP11-15J10.1"	0	0	0	0
"RP11-17M15.2"	0	-0.35	0	0
"RP11-18B3.2"	0	-0.53	0.33	0
"RP11-20I23.3"	0	0	0	0
"RP11-216L13.17"	0	0	0	0
"RP11-259G18.2"	0	0	0	0
"RP11-274B21.5"	0	0	0.62	0
"RP11-295P9.13"	0	-0.66	-1.15	1.15
"RP11-296A16.1"	0	0	0	0
"RP11-305M3.2"	0	0	0	0
"RP11-330H6.5"	0	0	0	0
"RP11-341D18.6"	0	0	0	0
"RP11-365D23.4"	0	0	-0.24	0.24
"RP11-365F18.6"	0	-0.21	-0.39	0.39
"RP11-392A14.9"	0	0	0	0
"RP11-399O19.9"	0	0	0.87	0
"RP11-3J10.7"	0	-0.47	-0.17	0.42
"RP11-401L13.4"	0	0.04	0.06	-0.52
"RP11-403F21.4"	0	-0.49	-0.23	0.23
"RP11-409C19.2"	0	0	0	0
"RP11-413H22.3"	0	0	0	0
"RP11-434B12.1"	0	-1.16	0	0
"RP11-438J1.1"	0	0	0.2	0.33
"RP11-43D4.2"	0	-0.25	-0.53	0.75
"RP11-447L10.1"	0	0	0	0
"RP11-457M11.6"	0	0	0.36	0.38
"RP11-462D18.2"	0	-0.22	0	0
"RP11-47F1.1"	0	0	0	0
"RP11-483E23.2"	0	-0.63	0	0
"RP11-488P3.1"	0	0	-0.04	0.23
"RP11-490K7.4"	0	0.42	-0.33	-0.03
"RP11-514P8.7"	0	0	0	0
"RP11-533K9.3"	0	0	0.59	0
"RP11-536P16.2"	0	0	0	0
"RP11-552E4.3"	0	-0.21	0	0
"RP11-571F15.2"	0	-0.69	0.23	0
"RP11-572P18.1"	0	0	0.56	0
"RP11-574E24.3"	0	0	0.15	0
"RP11-574F21.3"	0	-0.33	-0.42	0.42
"RP11-586D19.1"	0	-0.29	0.68	-1.12
"RP11-589F5.4"	0	0	0	0
"RP11-598P20.5"	0	0	0	0
"RP11-618P17.4"	0	0	0	0
"RP11-632C17__A.1"	0	0	-0.39	0.39
"RP11-66N11.8"	0	0.35	-0.31	-0.42
"RP11-676M6.1"	0	-0.35	0	0
"RP11-686D22.3"	0	-0.56	0.25	1.04
"RP11-69L16.5"	0	0.86	0.05	-0.69
"RP11-766F14.2"	0	0	0	0
"RP11-766H1.1"	0	0	0.38	0
"RP11-77H9.5"	0	0	-0.13	0.13
"RP11-794P6.2"	0	0	0	0
"RP11-831H9.11"	0	0	0	0
"RP11-87C12.2"	0	0	-0.61	0.61
"RP11-87N3.6"	0	0	0.23	0
"RP11-887P2.3"	0	0	0	0
"RP11-90O23.1"	0	-0.41	-0.25	1.05
"RP11-958N24.2"	0	0	0	0
"RP11-96O20.4"	0	0	0.12	0.78
"RP13-1032I1.10"	0	0	0	0
"RP13-198D9.4"	0	-0.52	0.24	0.38
"RP4-533D7.6"	0	0	0	0
"RP4-593M8.1"	0	-0.31	0.03	0.17
"RP5-1022E24.6"	0	-0.47	-0.73	0.73
"RP5-1028K7.3"	0	0	0	0
"RP5-850E9.3"	0	0	-0.93	0.93
"RP5-857K21.15"	0	0	-0.4	0.4
"RPL12P4"	0	0	0	0
"RPL13P12"	0	0.06	0.69	-0.77
"RPL23AP64"	0	0.17	0.39	-0.01
"RPL23AP88"	0	0	0	0
"RPL35P6"	0	-0.87	-0.6	2.1
"RPL36AP33"	0	-0.18	0	0
"RPL39P3"	0	-1.32	-0.9	0.9
"RPL7L1P9"	0	-0.22	-1.06	1.06
"RPL9P7"	0	-1.02	0	0
"RPLP1P11"	0	-0.68	-0.3	0.6
"RPS26P6"	0	0	-0.47	0.47
"RTEL1P1"	0	-0.17	-0.29	0.5
"RTFDC1"	0	-0.02	-0.02	0.22
"RUFY4"	0	-0.37	-0.36	0.36
"RXFP2"	0	-0.31	0.64	0
"RXFP4"	0	0	-0.16	0.16
"RYKP1"	0	0	0	0
"S100A14"	0	0	0	0
"S100A2"	0	0.21	0.49	0.81
"SALL3"	0	0	0	0
"SAMM50"	0	-0.08	-0.13	-0.14
"SAMM50P1"	0	-0.22	-0.88	1.24
"SCARA3"	0	0	0	0
"SCNN1G"	0	-0.42	-0.23	0.23
"SEC11A"	0	-0.01	0.03	-0.01
"SEC13"	0	-0.28	0.2	-0.07
"SEMA3G"	0	0	-0.85	0.85
"SGCZ"	0	0	0	0
"SHC2"	0	0	-0.2	0.2
"SHD"	0	0	0	0
"SHH"	0	0.03	0.5	-0.02
"SIM1"	0	-0.3	-0.45	0.45
"SIN3B"	0	0.21	-0.22	0
"SIRPG"	0	-0.73	0.18	0
"SKOR1"	0	0.06	0	-0.22
"SLC10A5P1"	0	0	-0.16	0.16
"SLC15A3"	0	0	1.03	0
"SLC1A7"	0	0	-0.82	1.06
"SLC22A10"	0	-0.17	-0.49	0.49
"SLC22A8"	0	0	0	0
"SLC24A1"	0	0.93	0.24	-0.96
"SLC26A3"	0	-0.15	-0.39	0.39
"SLC37A1"	0	0.18	-0.12	0.89
"SLC38A5"	0	-0.35	0	0
"SLC38A8"	0	0	0	0
"SLC40A1"	0	0	0	0
"SLC4A1AP"	0	0.13	-0.21	0.38
"SLC51A"	0	-0.35	0.06	0.45
"SLC5A7"	0	0	0	0
"SLC7A4"	0	0	0.15	0
"SLC9A2"	0	-0.14	0	0
"SLC9C2"	0	-0.44	0.65	0
"SLCO1C1"	0	-0.31	-0.22	0.22
"SLFN13"	0	0.85	-0.18	0.23
"SMARCE1P2"	0	0	0	0
"SMOC2"	0	0	0	0
"SMPD4P1"	0	0	-0.15	0.15
"SNAPC2"	0	0.1	0.21	-0.05
"SNCAIP"	0	-0.31	-0.41	0.41
"SNRPEP4"	0	0	0	0
"SNRPGP5"	0	0	0.21	0
"SNX13"	0	-0.35	0.26	0.17
"SOAT2"	0	-0.21	0.75	1.03
"SOHLH2"	0	-0.44	0	0
"SORCS3"	0	0	0	0
"SPAG6"	0	-0.29	0	0
"SPANXB1"	0	0	0	0
"SPATA31A6"	0	0	0	0
"SPATA31D1"	0	0	0	0
"SPDYE4"	0	1.1	-0.11	-0.87
"SPNS3"	0	0	0.71	0.34
"SPOCK2"	0	-1.19	1.02	0
"SPTAN1"	0	0.24	0.04	0.46
"SSX6"	0	0	0	0
"ST6GALNAC1"	0	0	0	0
"ST6GALNAC5"	0	-0.31	-0.59	1.09
"ST8SIA2"	0	0	0.1	0.39
"STAG2"	0	-0.01	-0.36	0
"STARD6"	0	-0.24	-1.28	1.28
"STRCP1"	0	0	-0.16	0.16
"STX11"	0	0	0	0
"STX6"	0	0.02	0.06	-0.34
"STX8P1"	0	0	0.53	0.89
"SUGT1"	0	-0.09	-0.11	-0.05
"SULT1A1"	0	0.02	-0.04	-0.58
"SUPT3H"	0	-1.03	-0.07	-1
"SVILP1"	0	0	-0.13	0.13
"SVOPL"	0	0	0	0
"SYT10"	0	-0.75	0.32	0
"SYT12"	0	0.02	-0.62	-0.27
"SYTL5"	0	0	0.43	0
"TACSTD2"	0	0	0.19	0
"TAS2R50"	0	-0.36	0.22	0
"TBC1D3G"	0	0	-0.58	0.58
"TBCAP2"	0	0	-1.05	1.05
"TBX22"	0	0	0	0
"TBX5"	0	0	0	0
"TC2N"	0	0	0	0
"TCTE1"	0	-1.09	0.19	0
"TECRP1"	0	0	0	0
"TEKT1"	0	0	0	0
"TEX11"	0	-0.85	-0.51	0.51
"TFCP2L1"	0	-0.18	-0.27	0.44
"TFEC"	0	0	0	0
"TFF2"	0	0	-0.89	1.08
"TGM4"	0	0	0	0
"TH"	0	0	0.31	0.81
"THSD7A"	0	0	-1.02	1.5
"THSD7B"	0	0	0.21	0.13
"TJP3"	0	0	0	0
"TLDC2"	0	0	0	0
"TLL1"	0	0	0	0
"TLX2"	0	0	0	0
"TMCO5A"	0	0	-0.31	0.31
"TMEM126A"	0	0	-0.21	0.41
"TMEM133"	0	0	0	0
"TMEM181"	0	-1.05	0	0
"TMEM255A"	0	0.21	0.05	-0.51
"TMEM63B"	0	-0.1	0.37	0.17
"TMEM63C"	0	0	0	0
"TMPRSS11D"	0	0	0.16	0
"TMPRSS11E"	0	0	0.42	0.12
"TMPRSS7"	0	-0.72	0.37	0
"TMSB4XP6"	0	0	0	0
"TMX1"	0	0.04	-0.03	0.12
"TNFAIP8L3"	0	0	0	0
"TNFSF8"	0	0	0	0
"TNXA"	0	-0.17	0.13	0
"TP63"	0	-0.38	-0.33	0.86
"TRAF3IP1"	0	-0.24	-0.12	0.34
"TRAFD1"	0	0.08	0.08	0.16
"TRIM31"	0	-0.5	0.16	0.64
"TRIM51HP"	0	-0.31	-0.13	0.13
"TRIM55"	0	-0.19	-1.25	2.36
"TRPC5"	0	0.29	-1.03	0.59
"TSEN34"	0	0.2	0.36	-0.5
"TSNAX-DISC1"	0	-0.44	0	0
"TSPAN2"	0	0	-0.51	0.51
"TTLL11-IT1"	0	0	0.24	0.86
"TUG1"	0	-0.22	0.19	0.09
"TXLNB"	0	0	0.48	0
"UBE2D3P2"	0	-0.65	0.22	0
"UBE2J1"	0	0	-0.08	-0.09
"UBE2Q2P6"	0	-0.56	-0.47	0.47
"UBE2SP1"	0	0	0.27	0
"UGT2A3"	0	0	0	0
"UGT2B26P"	0	-0.22	-0.13	0.88
"UGT2B4"	0	-0.23	0.48	0.3
"UMOD"	0	0	0	0
"UMODL1"	0	0	0	0
"UNC119"	0	-0.02	-0.54	-0.04
"URGCP-MRPS24"	0	-0.79	-0.61	0.61
"USP17L11"	0	-0.1	-0.11	0.11
"USP17L15"	0	0	0	0
"USP41"	0	0	1.05	0
"VCX3B"	0	-0.18	0	0
"VSTM1"	0	-0.42	-0.85	1.43
"VSTM2A"	0	0	0.03	0.13
"VWA3A"	0	0	0	0
"WAC"	0	0.21	0.07	-0.61
"WDR87"	0	-0.44	0	0
"WEE2"	0	-0.92	0.1	1.33
"WNK1"	0	0.2	-0.34	-0.02
"WSCD1"	0	-0.39	0	0
"XAGE5"	0	0	0	0
"XIRP2"	0	0	-0.26	0.26
"XX-FW81066F1.2"	0	0	0.75	0
"XXbac-BPG116M5.17"	0	0	-0.89	0.89
"XXbac-BPG246D15.9"	0	-0.79	0.91	2.24
"ZBTB2"	0	-0.01	-0.23	-0.04
"ZFP91-CNTF"	0	-0.25	-0.29	0.3
"ZNF19"	0	-0.15	-0.26	0.11
"ZNF266"	0	-0.61	0.02	0.51
"ZNF281"	0	-0.16	0.06	0.06
"ZNF30"	0	0.18	-0.16	-0.22
"ZNF474"	0	0	0.87	1.2
"ZNF48"	0	-0.24	-0.02	0.52
"ZNF560"	0	0	0.25	0
"ZNF574"	0	0.17	0.27	-0.18
"ZNF655"	0	-0.06	0.24	-0.19
"ZSWIM2"	0	0	0.56	0
"AC012513.4"	-0.01	-0.95	-0.83	1.39
"ADNP"	-0.01	0.02	-0.5	0.4
"AKR1B10"	-0.01	-0.14	0.29	0.96
"AMMECR1"	-0.01	-0.3	0.17	0.64
"ANKRD13B"	-0.01	0.45	-0.25	-0.88
